CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:50:11
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:50:11
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:50:11
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:50:11
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:50:56
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:50:59
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:50:59
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:50:59
INFO     | server.py -> accept | new client joined: 49776 |2019-12-13 21:50:59
INFO     | tracker.py -> handle_connection | client connected: 49776 |2019-12-13 21:50:59
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:50:59
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:50:59
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:50:59
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:50:59
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:51:19
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:51:22
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:51:22
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:51:22
INFO     | server.py -> accept | new client joined: 49778 |2019-12-13 21:51:22
INFO     | tracker.py -> handle_connection | client connected: 49778 |2019-12-13 21:51:22
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:51:22
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:51:22
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:51:22
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:51:22
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:51:53
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:51:56
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:51:56
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:51:56
INFO     | server.py -> accept | new client joined: 49781 |2019-12-13 21:51:56
INFO     | tracker.py -> handle_connection | client connected: 49781 |2019-12-13 21:51:56
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:51:56
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:51:56
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:51:56
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:51:56
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:53:19
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:53:22
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:53:22
INFO     | server.py -> accept | new client joined: 49811 |2019-12-13 21:53:22
INFO     | tracker.py -> handle_connection | client connected: 49811 |2019-12-13 21:53:22
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:53:22
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:53:22
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:53:22
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:53:22
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:53:22
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:55:11
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:55:14
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:55:14
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:55:14
INFO     | server.py -> accept | new client joined: 49816 |2019-12-13 21:55:14
INFO     | tracker.py -> handle_connection | client connected: 49816 |2019-12-13 21:55:14
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:55:14
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:55:14
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:55:14
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:55:14
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:55:33
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:55:35
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:55:35
INFO     | server.py -> accept | new client joined: 49819 |2019-12-13 21:55:35
INFO     | tracker.py -> handle_connection | client connected: 49819 |2019-12-13 21:55:35
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:55:35
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:55:35
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:55:35
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:55:35
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:55:35
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:56:06
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:56:09
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:56:09
INFO     | server.py -> accept | new client joined: 49823 |2019-12-13 21:56:09
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:56:09
INFO     | tracker.py -> handle_connection | client connected: 49823 |2019-12-13 21:56:09
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:56:09
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:56:09
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:56:09
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:56:09
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:56:47
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:56:49
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:56:49
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:56:49
INFO     | server.py -> accept | new client joined: 49827 |2019-12-13 21:56:49
INFO     | tracker.py -> handle_connection | client connected: 49827 |2019-12-13 21:56:49
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:56:49
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:56:49
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:56:49
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:56:49
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:57:31
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:57:33
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:57:33
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:57:33
INFO     | server.py -> accept | new client joined: 49832 |2019-12-13 21:57:33
INFO     | tracker.py -> handle_connection | client connected: 49832 |2019-12-13 21:57:33
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:57:33
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:57:33
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:57:33
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:57:33
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 21:59:37
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 21:59:40
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 21:59:40
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 21:59:40
INFO     | server.py -> accept | new client joined: 49841 |2019-12-13 21:59:40
INFO     | tracker.py -> handle_connection | client connected: 49841 |2019-12-13 21:59:40
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 21:59:40
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 21:59:40
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 21:59:40
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 21:59:40
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:01:16
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:01:18
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:01:18
INFO     | server.py -> accept | new client joined: 49846 |2019-12-13 22:01:18
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:01:18
INFO     | tracker.py -> handle_connection | client connected: 49846 |2019-12-13 22:01:18
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:01:18
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:01:18
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:01:18
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:01:18
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:01:45
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:01:48
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:01:48
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:01:48
INFO     | server.py -> accept | new client joined: 49851 |2019-12-13 22:01:48
INFO     | tracker.py -> handle_connection | client connected: 49851 |2019-12-13 22:01:48
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:01:48
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:01:48
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:01:48
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:01:48
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:02:45
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:02:47
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:02:47
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:02:47
INFO     | server.py -> accept | new client joined: 49855 |2019-12-13 22:02:47
INFO     | tracker.py -> handle_connection | client connected: 49855 |2019-12-13 22:02:47
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:02:47
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:02:47
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:02:47
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:02:47
